deployment_code,location,species,pi_name,time_coverage_start,base_station
BM01,Beaufort Sea,Bowhead,ALASKA,2012,
BM02,Beaufort Sea,Bowhead,ALASKA,2017,
BM03,Beaufort Sea,Bowhead,ALASKA,2018,
DL02,,Grey seal,DFOQuebec,2018,
MY01,Greenland,Bowhead,Aarhus,2017,
awru1,Davis,Weddell seal,HINDELL,2007,
bs1,Heard Island,Fur seal,STANILAN,2004,
bs2,Heard Island,Fur seal,STANILAN,2006,
bv3,Bouvet,Southern ellie,NPOLAR,2015,
ct1,South Georgia,Southern ellie,FEDAK,2004,
ct10,California,Northern ellie,COSTA,2005,
ct100,Campbell,Southern ellie,IMOS,2013,
ct101,South Australia,Fur seal,IMOS,2013,
ct102,King George Is. Antar,Southern ellie,BESTER-AWI,2013,
ct103,ct103,ct103,ct103,ct10,
ct104,PIG. Antarctica,Southern ellie,SMRU,2014,
ct105,Kerguelen,Southern ellie,GAO,2013,PAF
ct106,South Australia,Sea lion,SARDI,2013,
ct107,California,Northern ellie,COSTA,2014,
ct108,Campbell,Southern ellie,IMOS,2014,
ct109,Kerguelen,Southern ellie,IMOS,2014,PAF
ct11,Kerguelen,Southern ellie,GUINET,2005,PAF
ct110,Montague Is. Australia,Fur seal,IMOS,2014,
ct111,Dumont D'Urville,Weddell seal,IMOS,2014,DDU
ct112,Kerguelen,Southern ellie,GUINET,2014,PAF
ct113,Weddell Sea,Weddell seal,AWI,2016,
ct114,California,Northern ellie,COSTA,2015,
ct115,Montague Is. Australia,Fur seal,SARDI,2014,
ct116,Davis,Southern ellie,IMOS,2016,
ct117,Kerguelen,Southern ellie,GUINET,2015,PAF
ct118,South Shetland Island,Leopard seal,GOEBEL,2015,
ct119,Scott Base,Weddell seal,IMOS,2016,
ct12,California,Northern ellie,COSTA,2005,
ct120,Kerguelen,Southern ellie,GUINET,2015,PAF
ct121,Kerguelen,Southern ellie,GAO,2016,PAF
ct122,Kerguelen,Southern ellie,IMOS,2016,PAF
ct123,South Australia,Sea lion,SARDI,2015,
ct124,ct124,ct124,ct124,ct124,
ct125,California,Northern ellie,COSTA,2016,
ct126,California,Northern ellie,COSTA,2016,
ct127,Peninsula Valdes,Southern ellie,COSTA,2016,P.Del.
ct128,Dumont D'Urville,Weddell seal,IMOS,2017,DDU
ct128a,Weddell Sea,Weddell seal,IMOS,2017,
ct129,SNI.California,Northern ellie,COSTA,2016,
ct13,Mexico,Northern ellie,COSTA,2005,
ct130,Svalbard,Ringed seal,NPOLAR,2016,
ct131,Kerguelen,Southern ellie,GUINET,2016,PAF
ct132,Kerguelen,Southern ellie,GUINET,2016,PAF
ct133,Davis,Southern ellie,GAO,2017,
ct134,Davis,Southern ellie,IMOS,2017,
ct135,Kerguelen,Southern ellie,IMOS,2017,PAF
ct136,Montague Is. Australia,Fur seal,SARDI,2017,
ct137,Ano Nuevo. California,Northern ellie,COSTA,2017,
ct138,Svalbard,Ringed seal,NPOLAR,2017,
ct139,Kerguelen,Southern ellie,GUINET,2017,PAF
ct14,Cape Shirreff. Antarc,Southern ellie,COSTA,2006,
ct140,Kerguelen,Southern ellie,IMOS,2017,PAF
ct141,Bouvet,Southern ellie,NPOLAR,2018,
ct142,Montague Is. Australia,Fur seal,SARDI,2017,
ct143,South Shetland Island,Weddell seal,GOEBEL,2018,
ct144,Kerguelen,Southern ellie,IMOS,2018,PAF
ct145,Ano Nuevo. California,Northern ellie,COSTA,2018,
ct146,Naples,Loggerhead turtle,HOCHSCHEID,2018,
ct147,Kerguelen,Southern ellie,TARSAN,2018,PAF
ct148,Kerguelen,Southern ellie,IMOS,2018,PAF
ct149,Kerguelen,Southern ellie,HINDELL,2018,PAF
ct15,California,California sea lion,COSTA,2005,
ct150,Ross Sea,Weddell seal,IMOS,2018,
ct152,Kerguelen,Southern ellie,GUINET,2019,PAF
ct154,Peninsula Valdes,Southern ellie,GUINET,2019,P.Del.
ct155,Kerguelen,Southern ellie,GUINET,2019,PAF
ct157,Kerguelen,Southern ellie,IMOS,2019,PAF
ct159,Kerguelen,Southern ellie,GUINET,2020,PAF
ct160,Kerguelen,Southern ellie,IMOS,2020,PAF
ct16,Kerguelen,Southern ellie,GUINET,2006,PAF
ct17,Ano Nuevo. California,Northern ellie,COSTA,2006,
ct18,Canada,Hooded seal,STENSON,2007,
ct19,Ano Nuevo. California,Northern ellie,COSTA,2006,
ct2,Macquarie,Southern ellie,HINDELL,2004,
ct20,Bering Sea,Bearded seal,NMML,2006,
ct21,Marion Island,,AWI,2007,
ct22,Elephant Island,Southern ellie,MUELBERT,2008,
ct23,Kerguelen,Southern ellie,GUINET,2006,PAF
ct23x,Kerguelen,Southern ellie,GUINET,2009,PAF
ct25,Cape Shirreff. Antarc,Southern ellie,COSTA,2007,
ct26,Kerguelen,Southern ellie,GUINET,2007,PAF
ct27,Weddell Sea,,NICHOLLS,2007,
ct27x,Elephant Island,,NICHOLLS,2007,
ct28,Ano Nuevo. California,Northern ellie,COSTA,2007,
ct29,Antarctic,Crabeater seal,COSTA,2007,
ct3,Kerguelen,Southern ellie,GUINET,2004,PAF
ct30,Ano Nuevo. California,Northern ellie,COSTA,2007,
ct31,South Australia,Australian sea lion,SARDI,2008,
ct32,Jan Mayen,Hooded seal,NPOLAR,2007,
ct32x,Jan Mayen,Hooded seal,NPOLAR,2008,
ct33,Marion Island,,BESTER,2008,
ct34,Bouvet,Southern ellie,NPOLAR,2008,
ct35,Marion Island,,AWI,2007,
ct35b,Marion Island,,AWI,2008,
ct35x,Marion Island,,BESTER-AWI,2008,
ct36,Kerguelen,Southern ellie,HINDELL,2009,PAF
ct37,Antarctica,Southern ellie,COSTA,2008,
ct38e,Kerguelen,Southern ellie,GUINET,2007,PAF
ct38w,Dumont D'Urville,Weddell seal,HINDELL,2008,DDU
ct39,Elephant Island,Southern ellie,MUELBERT,2008,
ct4,California,Northern ellie,COSTA,2004,
ct40,South Georgia,Southern ellie,FEDAK,2008,
ct41,California,Northern ellie,COSTA,2008,
ct42,Marion Island,,BESTER,2008,
ct43,Weddell Sea,,NICHOLLS,2009,
ct44,Weddell Sea,,AWI,2008,
ct45,South Georgia,Southern ellie,FEDAK,2008,
ct46,Elephant Island,Southern ellie,MUELBERT,2009,
ct47,Dumont D'Urville,Weddell seal,HINDELL,2009,DDU
ct48,Cape Shirreff. Antarc,Southern ellie,COSTA,2009,
ct49,South Georgia,Southern ellie,FEDAK,2009,
ct50,Marion Island,,BESTER,2009,
ct51,California,Northern ellie,COSTA,2009,
ct52,Jan Mayen,Pv,NPOLAR,2009,
ct53,Ano Nuevo. California,Northern ellie,COSTA,2009,
ct54,King George Is. Antar,,BESTER-AWI,2010,
ct55,St Johns,Blueback hood,HAMMILL,2010,
ct56,Elephant Island,Southern ellie,MUELBERT,2009,
ct57,South Shetland Island,Leopard seal,GOEBEL,2010,
ct58,South Georgia,Southern ellie,FEDAK,2009,
ct59,Alaska,Northern fur seal,SPRINGER,2009,
ct6,Macquarie,Southern ellie,HINDELL,2005,
ct61,Australia,Sea lion,SARDI,2009,
ct62,Kerguelen,Southern ellie,GUINET,2010,PAF
ct63,Ross Sea McMurdo,Weddell seal,COSTA,2010,
ct64,Macquarie,Southern ellie,IMOS,2010,
ct65,Falklands,Southern ellie,FEDAK,2010,
ct67,California,Northern ellie,COSTA,2010,
ct68,Marion Island,,AWI,2010,
ct69,Svalbard,Pv,NPOLAR,2010,
ct7,Kerguelen,Southern ellie,GUINET,2005,PAF
ct70,Weddell Sea,,NICHOLLS,2011,
ct71,W Greenland,Ringed seal,HOLLAND,2010,
ct73,Marion Island,,BESTER-AWI,2011,
ct74,Ross Sea McMurdo,Weddell seal,COSTA,2011,
ct75,Dumont D'Urville,Weddell seal,HINDELL,2011,DDU
ct76,South Australia,Sea lion,SARDI,2011,
ct77,Casey,Southern ellie,IMOS,2012,
ct78d,Davis,Southern ellie,IMOS,2011,
