id_animal,type_balise,num_argos,num_ref,ref_smru,duree_enregistrement,duree_pourcentage
2003-1,CTD,17216,9117,ke_17216_02,,
2003-2,CTD,2845,9071,ke_2845_02,,
2003-3,CTD,2848,9072,ke_2848_02,,
2004-1,CTD,17217,9118,ct3_9118_04,,
2004-10,CTD,26706,9938,ct3_9938_04,,
2004-2,CTD,2967,9926,ct3_9926_04,,
2004-3,CTD,2969,9927,ct3_9927_04,,
2004-4,CTD,2970,9928,ct3_9928_04,,
2004-5,CTD,3853,9929,ct3_9929_04,,
2004-6,CTD,7077,9931,ct3_9931_04,,
2004-7,CTD,14674,9932,ct3_9932_04,,
2004-8,CTD,14675,9934,ct3_9934_04,,
2004-9,CTD,14676,9935,ct3_9935_04,,
2005-1,CTD,26445,10027,ct7-10027-05,,
2005-10,CTD,26464,10024,ct7-10024-05,,
2005-11,CTD,26502,10037,ct7-10037-05,,
2005-12,CTD,26505,10039,ct7-10039-05,,
2005-13,CTD,26470,10026,ct7-10026-05,,
2005-14,CTD,26491,10036,ct7-10036-05,,
2005-2,CTD,26446,10028,ct7-10028-05,,
2005-3,CTD,26447,10029,ct7-10029-05,,
2005-4,CTD,26448,10030,ct7-10030-05,,
2005-5,CTD,26454,10031,ct7-10031-05,,
2005-6,CTD,26455,10032,ct7-10032-05,,
2005-7,CTD,26471,10033,ct7-10033-05,,
2005-8,CTD,26485,10034,ct7-10034-05,,
2005-9,CTD,26457,10035,ct7-10035-05,,
2006-1,CTD,43833,10064,ct11_10064_05,,
2006-10,CTD,64321,10240,ct16-240-06,,
2006-11,CTD,64322,10241,ct16-241-06,,
2006-12,CTD,64323,10238,ct16-238-06,,
2006-13,CTD,64324,10242,ct16-10242-06,,
2006-14,CTD,,10243,ct16-10243-06,,
2006-15,CTD,,10244,ct16-10244-06,,
2006-16,CTD,,10245,ct16-10245-06,,
2006-17,CTD,,10173,ct16-10173-06,,
2006-2,CTD,43834,10073,ct11_10073_05,,
2006-3,CTD,43835,10094,ct11_10094_05,,
2006-4,CTD,43836,10095,ct11_10095_05,,
2006-5,CTD,43837,10096,ct11_10096_05,,
2006-6,CTD,43838,10097,ct11_10097_05,,
2006-7,CTD,64318,10174,ct16-174-06,,
2006-8,CTD,64319,10237,ct16-237-06,,
2006-9,CTD,64320,10317,ct16-317-06,,
2006_M01,GPS/GSM,,10 350,gp3-GSM875-06,,
2006_M02,GPS/GSM,,10 334,gp3-GSM102-06,,
2006_M03,GPS/GSM,,10 396,gp3-GSM151-06,,
2006_M04,GPS/GSM,,10 397,gp3-GSM156-06,,
2006_M05,GPS/GSM,,10 329,gp3-GSM109-06,,
2007-1,CTD,72530,10589,ct26-C13-07,,
2007-10,CTD,72520,10526,ct23-C06-06,,
2007-11,CTD,72521,10527,ct23-C07-06,,
2007-12,CTD,72522,10528,ct23-C08-06,,
2007-13,CTD,72523,10529,ct23-C09-06,,
2007-14,CTD,72524,10535,ct23-C10-06,,
2007-15,CTD,72525,10536,ct23-C11-06,,
2007-16,CTD,72526,10537,ct23-C12-06,,
2007-2,CTD,72531,10614,ct26-C14-07,,
2007-3,CTD,72532,10601,ct26-C15-07,,
2007-4,CTD,72533,10602,ct26-C16-07,,
2007-5,CTD,72515,10516,ct23-C01-06,,
2007-6,CTD,72516,10517,ct23-C02-06,,
2007-7,CTD,72517,10518,ct23-C03-06,,
2007-8,CTD,72518,10519,ct23-C04-06,,
2007-9,CTD,72519,10525,ct23-C05-06,,
2007_M06,GPS/GSM,,10 817,gp11-MSM06-07,,
2007_M07,GPS/GSM,,10 805,gp11-MSM07-07,,
2007_M08,GPS/GSM,,10 845,gp11-MSM08-07,,
2007_V01,GPS/GSM,,10 806,gp11-V01-07,,
2007_V02,GPS/GSM,,10 815,gp11-V02-08,,
2007_V03,GPS/GSM,,10 818,gp11-V03-09,,
2007_V04,GPS/GSM,,10 808,gp11-V04-10,,
2007_V05,GPS/GSM,,10 803,gp11-V05-11,,
2007_V06,GPS/GSM,,10 816,gp11-V09-11,,
2007_V07,GPS/GSM,,10 814,gp11-V10-11,,
2008-1,CTD,79684,10830,ct38e-30-08,,
2008-2,CTD fluo,48927,10863,ft01-Fluoro1-07,,
2008-3,CTD,79682,10829,ct38e-29-08,,
2008-4,CTD,79678,10809,ct38e-09-08,,
2008-5,CTD,79683,10826,ct38e-26-08,,
2008-6,CTD,79679,10811,ct38e-11-08,,
2008-7,CTD fluo,38578,10855,ft01-Fluoro2-07,,
2008-8,Mk10-fast-loc,86372,09A0568,,80.22,100
2008_S01,GPS/GSM,,11 008,gp15s-S35-08,,
2008_S02,GPS/GSM,,11 023,gp15s-S37-08,,
2008_S03,GPS/GSM,,11 027,gp15s-S39-08,,
2008_S04,GPS/GSM,,11 016,gp15s-S36-08,,
2008_S05,GPS/GSM,,10 999,gp15s-S32-08,,
2008_S06,GPS/GSM,,10 937,gp15s-S30-08,,
2008_S07,GPS/GSM,,10 997,gp15s-S31-08,,
2008_S08,GPS/GSM,,11 004,gp15s-S34-08,,
2008_S09,GPS/GSM,,11 024,gp15s-S38-08,,
2008_S10,GPS/GSM,,11 000,gp15s-S33-08,,
2008_V08,GPS/GSM,,10 998,gp15v-V22-08,,
2008_V09,GPS/GSM,,10 958,gp15v-V21-08,,
2008_V10,GPS/GSM,,11 011,gp15v-V23-08,,
2008_V11,GPS/GSM,,11 013,gp15v-V24-08,,
2008_V12,GPS/GSM,,10 949,gp15v-V20-08,,
2009-1,CTD fluo Cyclops,86364,11263,ft03-Cy1-09,,
2009-1,Mk9,,890330,,81.74,100
2009-10,Mk10-fast-loc,86372,09A0568,,81.53,100
2009-11,Mk10-fast-loc,86373,08A0021,,99.18,100
2009-12,CTD fluo,86365,11042,ft02-G-09,,
2009-13,CTD,86370,10882,ct23x-exF-08,,
2009-14,CTD,77143,10680,ct36-R2-09,,
2009-15,CTD,77142,10776,ct36-R1-09,,
2009-16,CTD fluo,86361,11044,ft02-C-09,,
2009-17,CTD fluo,86368,11039,ft02-J-09,,
2009-18,CTD fluo,86367,11034,ft02-I-09,,
2009-19,CTD,77144,10743,ct36-R3-09,,
2009-2,Mk9,,890328,,72.97,100
2009-2,CTD fluo Cyclops,,,,,
,86366,11038,ft03-Cy11038-09,,,
2009-20,CTD,77137,10738,ct36-B-09,,
2009-21,CTD fluo,86359,10946,ft02-A-09,,
2009-22,CTD fluo,86364,11040,ft02-F-09,,
2009-23,CTD,72525,10536,ct23x-536-08,,
2009-24,CTD,72523,10529,ct23x-529-08,,
2009-25,CTD fluo,86362,11035,ft02-H-09,,
2009-26,CTD fluo,86363,11033,ft02-E-09,,
2009-27,CTD,77145,10744,ct36-R4-09,,
2009-28,CTD,72520,10602,ct23x-602-08,,
2009-29,CTD,72530,10589,ct23x-589-08,,
2009-3,Mk9,,890327,,81.34,100
2009-3,CTD fluo Cyclops,79683,11260,ft03-Cy4-09,,
2009-30,CTD,72526,10537,ct23x-537-08,,
2009-31,CTD,77140,10742,ct36-E-09,,
2009-32,CTD,77139,10741,ct36-D-09,,
2009-33,CTD,77141,10745,ct36-F-09,,
2009-34,CTD,77138,10739,ct36-C-09,,
2009-35,CTD,77136,10737,ct36-A-09,,
2009-36,CTD fluo Micromodule,86369,11213,ft03-MM11213-09,,
2009-4,Mk9,,890197,,77.24,100
2009-4,CTD fluo Cyclops,79682,11259,ft03-Cy5-09,,
2009-5,Mk10-fast-loc,,,,,
,86374,08A0023,,96.04,100,
2009-6,Mk10-fast-loc,,,,,
,78524,07A0774,,100.89,100,
2009-7,CTD fluo Micromodule,79678,11254,ft03-Cy3-09,,
2009-8,Mk9,,890326,,87.92,100
2009-8,CTD fluo Cyclops,86367,11262,ft03-Cy2-09,,
2009-9,Mk10-fast-loc,78525,09A0567,,76.05,100
2010-1,CTD fluo Cyclops,49769,11403,ft04-Cy06-10,,
2010-10,Mk9,,890330,,,
2010-10,CTD fluo Cyclops,73001,11260,ft06-Cy17-10,,
2010-11,Mk9,,990452,,70.05,100
2010-11,CTD fluo Cyclops,73052,11262,ft06-Cy18-10,,
2010-12,CTD fluo Cyclops,73053,11259,ft06-Cy19-10,,
2010-12,Mk9,,890328,,,
2010-13,CTD fluo Cyclops,73054,10946,ft06-Cy20-10,,
2010-13,Mk9,,990448,,,
2010-14,CTD fluo Micromodule,72997,11254,ft06-Mm13-10,,
2010-14,Mk9,,990451,,,
2010-15,Mk10-fast-loc,86374,08A0023,,104.69,100
2010-15,Mk10 accelero,,10A5000,,,
2010-15,Mk9,,990455,,,
2010-15,CTD Aanderaa,73230,11533,ft06-Ox01-10,,
2010-16,CTD,49777,10614,ct62-01-10,,
2010-17,CTD,49778,10744,ct62-02-10,,
2010-18,Mk10 accelero,,10A0302,,60.47,100
2010-18,Mk10-fast-loc,78524,07A0774,,60.47,100
2010-18,Mk10 velocity,,07A0687,,,
2010-19,Mk10-fast-loc,78525,10A0712,,80.75,100
2010-19,Mk10 velocity,,07A0688,,,
2010-19,Mk10 accelero,,10A0303,,80.75,100
2010-2,CTD fluo Cyclops,49771,11404,ft04-Cy07-10,,
2010-20,Mk10-fast-loc,86372,09A0568,,94.89,100
2010-20,Mk10 accelero,,10A0304,,0,0
2010-20,Mk10 velocity,,07A0689,,,
2010-21,Mk10 accelero,,10A5015,,73.37,100
2010-21,Mk10-fast-loc,86373,08A0021,,73.37,100
2010-21,DDT,,09A0581,,73.37,100
2010-3,CTD fluo Cyclops,49772,11261,ft04-Cy08-10,,
2010-4,CTD fluo Cyclops,49773,11432,ft04-Cy09-10,,
2010-5,CTD fluo Cyclops,49774,11044,ft04-Cy10-10,,
2010-6,CTD fluo Cyclops,49775,11042,ft04-Cy11-10,,
2010-7,CTD fluo Cyclops,72968,11263,ft06-Cy12-10,,
2010-7,Mk9,,990458,,77.4,100
2010-8,CTD fluo Cyclops,72998,11038,ft06-Cy14-10,,
2010-8,Mk9,,990457,,83.58,100
2010-9,Mk9,,990454,,66.48,100
2010-9,CTD fluo Cyclops,73000,11035,ft06-Cy16-10,,
2010_B17,GPS/GSM,,11 591,hg28-B17-10,,
2010_B18,GPS/GSM,,11 421,hg28-B18-10,,
2010_B19,GPS/GSM,,11 592,hg28-B19-10,,
2010_B20,GPS/GSM,,11 176,hg28-B20-10,,
2011-1,CTD fluo Cyclops,103724,11630,ft07-Cy21-11,,
2011-10,CTD fluo Cyclops,73080,11550,ft07-Cy30-11,,
2011-11,CTD Aanderaa,103732,11853,ft07-Ox2-11,,
2011-12,CTD fluo,73054,10946,ft10-Cy20-11,,
2011-12,Mk9,,1190113,,0,0
2011-13,Mk9,,1190112,,87.37,100
2011-13,CTD fluo,109805,12078,ft10-Cy35-11,,
2011-14,CTD oxy,109800,12117,ft10-Ox05-11,95.86,100
2011-14,Mk10 accelero,,11A5008,,10.57,11.02
2011-15,Mk9,,1190107,,75.89,100
2011-15,CTD,72968,11263,ct82-263-11,,
2011-16,Mk10-fast-loc,109807,11A0537,ct82-WC11A0537-11,87.18,100
2011-16,Mk10 accelero,,11A5010,,10.78,12.36
2011-16,Acousonde,,A031,,,
2011-17,CTD oxy,109799,12116,ft10-Ox04-11,96.19,100
2011-17,Mk10 accelero,,11A5009,,10.77,11.2
2011-18,Mk10-fast-loc,109808,11A0538,ct82-WC11A0538-11,66.9,100
2011-18,Mk10 accelero,,11A5005,,12.24,18.29
2011-18,Acousonde,,A032,,,
2011-19,Mk10 velocity,,07A0687,,,
2011-19,Mk9 2 lambda,,490158,,19.2,17.12
2011-19,CTD fluo,109804,12076,ft10-Cy34-11,112.12,100
2011-2,CTD fluo Cyclops,103725,11628,ft07-Cy22-11,,
2011-20,CTD oxy,103732,11853,ft10-Ox02-11,,
2011-20,Mk10 accelero,,11A5004,,0,0
2011-21,Mk10 accelero,,11A5003,,,
2011-21,Mk10-fast-loc,78525,10A0712,ct82-WC10A0712-11,93.48,100
2011-21,Mk10 accelero dos,,10A5017,,53.12,56.82
2011-22,CTD oxy,109798,12119,ft10-Ox03-11,87.6,100
2011-22,Mk10 accelero,,11A5006,,0.35,0.4
2011-23,CTD fluo,109801,12079,ft10-Cy31-11,,
2011-23,Mk10 velocity,,07A0689,,0,0
2011-23,Mk9 2 lambda,,490858,,0,0
2011-24,CTD,109797,11924,ct82-924-11,,
2011-24,Mk10 velocity,,07A0668,,0,0
2011-24,Mk9,,1190109,,0,0
2011-25,Mk10 accelero dos,,15A5000,,0,0
2011-25,CTD fluo,109803,12075,ft10-Cy33-11,,
2011-25,Mk9,,1190111,,0,0
2011-26,Mk10 accelero,,10A5022,,57.39,61.52
2011-26,Mk10-fast-loc,86374,08A0023,ct82-WC08A0023-11,96.3,100
2011-26,Mk10 accelero dos,,10A5002,,,
2011-27,Mk10 accelero,,11A5001,,14.05,17.59
2011-27,DDT,,10A5048,,,
2011-27,Mk10-fast-loc,86372,09A0568,ct82-WC09A0568-11,79.89,100
2011-28,Mk10 accelero,,11A5007,,,
2011-28,Mk10-fast-loc,86373,08A0021,ct82-WC08A0021-11,74.79,100
2011-28,Mk10 accelero dos,,10A5019,,55.45,74.14
2011-29,Mk10-fast-loc,78524,07A0774,ct82-WC07A0774-11,0,0
2011-29,Mk10 accelero,,11A5002,,0,0
2011-3,CTD fluo Cyclops,103726,11614,ft07-Cy23-11,,
2011-30,Mk10-fast-loc,39330,11A0801,,,
2011-30,Mk9,,990453,,,
2011-31,Mk9,,890197,,,
2011-31,Mk10-fast-loc,,11A0805,,,
2011-4,CTD fluo Cyclops,103727,11615,ft07-Cy24-11,,
2011-5,CTD fluo Cyclops,103728,11629,ft07-Cy25-11,,
2011-6,CTD fluo Cyclops,103729,11617,ft07-Cy26-11,,
2011-7,CTD fluo Cyclops,103730,11620,ft07-Cy27-11,,
2011-8,CTD fluo Cyclops,103731,11548,ft07-Cy28-11,,
2011-9,CTD fluo Cyclops,73055,11619,ft07-Cy29-11,,
2011_B21,GPS/GSM,,11 946,hg32-24-11,,
2011_B22,GPS/GSM,,11 596,hg32-07-11,,
2011_B23,GPS/GSM,,11 171,hg32-01-11,,
2011_B24,GPS/GSM,,11 979,hg32-21-11,,
2011_B25,GPS/GSM,,11 186,hg32-02-11,,
2011_B26,GPS/GSM,,11 623,hg32-06-11,,
2011_B27,GPS/GSM,,11 168,hg32-04-11,,
2011_B28,GPS/GSM,,11 997,hg32-23-11,,
2012-1,Mk10 accelero,,12A1549,,23.22,23
2012-1,Mk10-fast-loc,86373,08A0021,ct95-08A0021-12,100.92,100
2012-1,Acousonde,,626019,,,
2012-10,Argos,120661,,,,
2012-10,Mk10 accelero,,12A1642,,,
2012-10,CTD oxy,109799,12116,ft12-Ox04-12,,
2012-11,CTD oxy,109798,12119,ft12-Ox03-12,48.42,100
2012-11,Argos,120664,,,,
2012-11,Mk10 accelero,,12A1645,,23.19,47.89
2012-13,Mk10 accelero,,12A1647,,0,0
2012-13,DDT,,10A5044,,,
2012-13,CTD fluo,120672,12452,ft12-F3-12,0,
2012-14,CTD fluo,120670,12454,ft12-F1-12,93.41,100
2012-14,DDT,,10A5047,,19.2,20.56
2012-14,Mk10 accelero,,12A1648,,27.65,29.4
2012-15,DDT,,10A5046,,15.47,16.59
2012-15,Mk10 accelero,,12A1650,,22.81,24.45
2012-15,CTD fluo,120673,12451,ft12-F4-12,93.23,100
2012-16,CTD fluo,120671,12453,ft12-F2-12,89.84,100
2012-16,Mk10 accelero,,12A1651,,24.77,27.57
2012-16,DDT,,12A1707,,18.8,20.92
2012-17,CTD,120675,12552,ct95-C2-12,96.56,100
2012-17,DDT,,12A1711,,0,0
2012-17,Mk10 accelero,,12A1654,,24.49,27.26
2012-18,CTD,120674,12521,ct95-C1-12,76.54,100
2012-18,Mk10 accelero,,12A1655,,25.43,33.23
2012-18,DDT,,12A1712,,0,0
2012-19,Mk10 accelero,,12A1639,,0,0
2012-19,Argos,120663,,,,
2012-19,CTD oxy,103732,11853,ft12-Ox02-12,,
2012-2,Acousonde,,626020,,,
2012-2,Mk10 accelero,,12A1593,,20.14,20.44
2012-2,Mk10-fast-loc,86372,09A0568,ct95-09A0568-12,98.55,100
2012-20,CTD,73230,11533,ct84-533-12,,
2012-21,CTD,49778,10744,ct84-744-12,,
2012-22,CTD,72997,11254,ct84-254-12,,
2012-23,CTD fluo,73080,11550,ft11-Cy30b-12,,
2012-24,CTD fluo,49771,11404,ft11-Cy07b-12,,
2012-25,CTD fluo,103729,11617,ft11-Cy26b-12,,
2012-26,CTD fluo,103731,11548,ft11-Cy28b-12,,
2012-3,Mk10 accelero,,12A1594,,25.87,46.33
2012-3,Acousonde,,626021,,,
2012-3,Mk10-fast-loc,78525,10A0712,ct95-10A0712-12,55.85,100
2012-4,Mk10 accelero,,12A1601,,22.61,19.57
2012-4,Acousonde,,626022,,,
2012-4,Mk10-fast-loc,109807,12A1576,ct95-12A1576-12,115.53,100
2012-5,Acousonde,,626038,,,
2012-5,Mk10 accelero,,12A1652,,,
2012-5,Mk9,,390929,,,
2012-5,Mk10-fast-loc,120668,12A1638,ct95-12A1638-12,,
2012-6,Mk10-fast-loc,120669,12A1644,ct95-12A1614-12,113.56,100
2012-6,Mk9,,390768,,21.77,19.17
2012-6,Mk10 accelero,,12A1607,,22.34,19.67
2012-6,Acousonde,,626039,,,
2012-7,Mk9 2 lambda,,490158,,,
2012-7,Acousonde,,626041,,,
2012-7,Mk10-fast-loc,120667,12A1621,ct95-12A1621-12,,
2012-7,Mk10 accelero,,12A1653,,,
2012-8,Mk10-fast-loc,109808,12A1618,ct95-12A1618-12,112.24,100
2012-8,Mk10 accelero,,12A1620,,,
2012-8,Mk9,,1190112,,,
2012-8,Acousonde,,626040,,,
2012-9,Mk10-fast-loc,86374,08A0023,ct95-08A0023-12,82.64,100
2012-9,Mk10 accelero,,12A1579,,21.6,26.14
2012-9,Mk9,,897327,,0,0
2012-9,DDT,,12A1710,,35.87,43.4
2013-1,Mk9,,990454,,75.05,100
2013-1,Mk10-fast-loc,109807,12A1576,,75.05,100
2013-1,Mk10 accelero,,12A1650,,25.74,34.29
2013-1,Acousonde,,A031,,,
2013-10,DDT,,12A1712,,51.61,64.47
2013-10,Mk10 accelero,,12A1655,,29.25,36.54
2013-10,CTD,120675,12552,ft14-C2-13,80.06,100
2013-11,Mk10 accelero,,12A1601,,26.72,36.62
2013-11,DDT,,12A1710,,62,84.97
2013-11,CTD fluo,120673,12451,ft14-F4-13,73.97,100
2013-12,DDT,,12A2019,,26.93,27.3
2013-12,CTD fluo,120671,12453,ft14-F2-13,98.61,100
2013-12,Mk10 accelero,,12A1549,,23.34,23.67
2013-13,CTD fluo,120670,12454,ft14-F1-13,89.74,100
2013-13,Mk10 accelero,,12A1645,,23.57,26.27
2013-14,Mk10 accelero,,12A1594,,,
2013-14,SPOT,120661,12S0452,,,
2013-14,DDT,,13A0167,,,
2013-14,Mk9,,990455,,,
2013-15,DDT,,13A0168,,,
2013-15,SPOT,120662,12S0453,,,
2013-15,Mk10 accelero,,12A1654,,,
2013-16,Mk10 accelero,,12A1579,,23.29,25.05
2013-16,Mk9,,990453,,92.96,100
2013-16,DDT,,13A0169,,17.59,18.92
2013-16,SPOT,120663,12S0454,,92.96,100
2013-17,SPLASH,133416,13A0390,,,
2013-17,SPOT,120664,12S0455,,66.37,100
2013-18,Mk10 accelero,,12A1607,,24.61,37.08
2013-18,SPOT,120660,12S0450,,63.31,100
2013-19,CTD,122355,12553,ct96-01-13,,
2013-2,Mk10 accelero,,12A1593,,24.92,31.29
2013-2,Mk9,,890330,,79.65,100
2013-2,Mk10-fast-loc,78525,10A0712,,79.65,100
2013-2,Acousonde,,A032,,,
2013-20,CTD,122356,12554,ct96-02-13,,
2013-20,Mk9,,1190112,,,
2013-21,CTD,122357,12555,ct96-03-13,,
2013-22,CTD,122358,12556,ct96-04-13,,
2013-23,CTD,122359,12557,ct96-05-13,,
2013-24,CTD,122360,12561,ct96-06-13,,
2013-25,CTD,122361,12562,ct96-07-13,,
2013-26,CTD,122362,12563,ct96-08-13,,
2013-27,CTD,122363,12564,ct96-09-13,,
2013-28,CTD,122364,12565,ct96-10-13,,
2013-29,CTD,122365,12566,ct96-11-13,,
2013-3,Mk10-fast-loc,109808,12A1618,,81.12,100
2013-3,Mk9,,990452,,81.12,100
2013-3,Acousonde,,A033,,,
2013-3,Mk10 accelero,,12A1651,,23.47,28.93
2013-30,CTD,122366,12619,ct96-12-13,,
2013-31,CTD,122367,12621,ct96-13-13,,
2013-32,CTD,122368,12620,ct96-14-13,,
2013-33,CTD,122369,12567,ct96-15-13,,
2013-34,CTD,122370,12569,ct96-16-13,,
2013-35,CTD,122371,12641,ct96-17-13,,
2013-36,CTD,122372,12623,ct96-18-13,,
2013-36,Mk9,,390903,,,
2013-37,CTD,122373,12631,ct96-19-13,,
2013-38,CTD,122374,12603,ct96-20-13,,
2013-39,CTD,122375,12632,ct96-21-13,,
2013-4,Acousonde,,A034,,,
2013-4,Mk10-fast-loc,86372,09A0568,,64.97,100
2013-4,Mk10 accelero,,13A0183,,18.24,28.08
2013-4,Mk9,,390930,,23.3,35.86
2013-40,CTD,122376,12630,ct96-22-13,,
2013-41,Mk9,,390768,,,
2013-41,CTD,122377,12622,ct96-23-13,,
2013-42,CTD,122378,12661,ct96-24-13,,
2013-43,CTD,122379,12665,ct96-25-13,,
2013-44,CTD,122380,12664,ct96-26-13,,
2013-45,CTD,122381,12662,ct96-27-13,,
2013-46,CTD,122382,12663,ct96-28-13,,
2013-47,CTD,122383,12617,ct96-29-13,,
2013-48,CTD,122384,12625,ct96-30-13,,
2013-49,CTD,120677,12686,ct97-Ph02-13,,
2013-49,DDT,,12A5047,,,
2013-49,Mk10 accelero,,12A1735,,,
2013-5,Mk10 accelero,,13A0180,,17.11,25.78
2013-5,Acousonde,,A035,,,
2013-5,Mk10-fast-loc,120669,12A1644,,66.37,100
2013-5,Mk9,,990448,,,
2013-50,SPOT,120665,12S0456,,,
2013-50,DSA,133417,13A0391,,,
2013-51,DSA,133418,13A0535,,,
2013-51,SPOT,120657,12S0447,,,
2013-52,DSA,133419,13A0536,,,
2013-52,SPOT,120666,12S0457,,,
2013-53,DSA,133420,13A0537,,,
2013-53,SPOT,120659,12S0449,,,
2013-6,Mk10-fast-loc,86374,08A0023,,72.32,100
2013-6,Mk10 accelero,,13A0179,,16.46,22.76
2013-6,Mk9,,990457,,72.32,100
2013-6,Acousonde,,A036,,,
2013-7,Mk10 accelero,,12A1648,,26.42,41.85
2013-7,Acousonde,,A037,,,
2013-7,Mk10-fast-loc,86373,08A0021,,63.14,100
2013-7,Mk9,,1290218,,63.14,100
2013-8,Mk10 accelero,,12A1739,,0,0
2013-8,CTD,120674,12521,ft14-C1-13,,
2013-8,DDT,,12A1707,,0,0
2014-1,CTD,122385,12688,ct98-31-13,,
2014-10,CTD,122395,12568,ct98-41-13,,
2014-11,CTD,122396,12638,ct98-42-13,,
2014-12,CTD,122397,12693,ct98-43-13,,
2014-13,CTD,122399,12560,ct98-45-13,,
2014-14,CTD,122400,12694,ct98-46-13,,
2014-15,CTD,122401,12696,ct98-47-13,,
2014-16,CTD,122402,12697,ct98-48-13,,
2014-17,CTD,122403,12698,ct98-49-13,,
2014-18,CTD,122404,12689,ct98-50-13,,
2014-19,CTD,133012,12935,ct105-12-13,,
2014-2,CTD,122386,12700,ct98-32-13,,
2014-20,CTD fluo,133015,12930,ct105-15f-13,,
2014-21,CTD fluo,133014,12931,ct105-14f-13,,
2014-22,DDT,,12A1712,,,
2014-22,Mk10-fast-loc-accelero,140079,14A0208,,,
2014-23,Mk10-fast-loc-accelero,140080,14A0209,,,
2014-23,DDT,,10A5047,,,
2014-24,DDT,,12A1709,,,
2014-24,SPOT,120660,12S0450,,,
2014-24,CTD,140092,13035,ct112-035-14,,
2014-25,Mk9,,390768,,,
2014-25,Mk10 accelero,,14A0517,,,
2014-25,Acousonde,,A031,,,
2014-25,Mk10-fast-loc,78525,10A0712,,,
2014-26,Mk9,,390903,,,
2014-26,Mk10 accelero,,14A0518,,,
2014-26,Acousonde,,A032,,,
